雜誌名,語言別,出版社,出版日期_年,出版日期_月,出版日期_日,類別,ISBN,定價,售價
台灣銀行家雜誌--訂閱半年,繁體中文,台灣金融研訓院,2010,01,01,台灣銀行家雜誌,　,1320,1320
台灣銀行家雜誌--訂閱一年,繁體中文,台灣金融研訓院,2010,01,01,台灣銀行家雜誌,　,2640,2640
台灣銀行家雜誌--訂閱二年,繁體中文,台灣金融研訓院,2010,01,01,台灣銀行家雜誌,　,5280,4752
訂閱半年郵資--港澳航空,繁體中文,,2009,11,01,台灣銀行家雜誌,　,500,500
台灣銀行家雜誌--續訂二年,繁體中文,台灣金融研訓院,2010,01,01,台灣銀行家雜誌,　,3000,3000
台灣銀行家雜誌第61期104.01,繁體中文,台灣金融研訓院,2015,02,03,台灣銀行家雜誌,61                       ,180,50
台灣銀行家雜誌第62期104.02,繁體中文,台灣金融研訓院,2015,02,17,台灣銀行家雜誌,62                       ,180,180
台灣銀行家雜誌第63期104.03,繁體中文,台灣金融研訓院,2015,03,01,台灣銀行家雜誌,63                       ,180,180
台灣銀行家雜誌第64期104.04,繁體中文,台灣金融研訓院,2015,04,01,台灣銀行家雜誌,64                       ,180,180
台灣銀行家雜誌第65期104.05,繁體中文,台灣金融研訓院,2015,05,01,台灣銀行家雜誌,65                       ,180,180
台灣銀行家雜誌第66期104.06,繁體中文,台灣金融研訓院,2015,06,01,台灣銀行家雜誌,66                       ,180,50
台灣銀行家雜誌第67期104.07,繁體中文,台灣金融研訓院,2015,07,01,台灣銀行家雜誌,67                       ,180,180
台灣銀行家雜誌第68期104.08,繁體中文,台灣金融研訓院,2015,08,03,台灣銀行家雜誌,68                       ,180,50
台灣銀行家雜誌第69期104.09,繁體中文,台灣金融研訓院,2015,08,31,台灣銀行家雜誌,69                       ,180,50
台灣銀行家雜誌第70期104.10,繁體中文,台灣金融研訓院,2015,09,30,台灣銀行家雜誌,70                       ,180,50
台灣銀行家雜誌第71期104.11,繁體中文,台灣金融研訓院,2015,10,31,台灣銀行家雜誌,71                       ,180,50
台灣銀行家雜誌第72期104.12,繁體中文,台灣金融研訓院,2015,12,09,台灣銀行家雜誌,0072                     ,180,50
台灣銀行家雜誌第73期105.01,繁體中文,台灣金融研訓院,2016,01,05,台灣銀行家雜誌,0073                     ,180,50
台灣銀行家雜誌第74期105.02,繁體中文,台灣金融研訓院,2016,02,01,台灣銀行家雜誌,0074                     ,180,50
台灣銀行家雜誌第75期105.03,繁體中文,台灣金融研訓院,2016,03,01,台灣銀行家雜誌,0075                     ,180,50
台灣銀行家雜誌第76期105.04,繁體中文,台灣金融研訓院,2016,03,31,台灣銀行家雜誌,0076                     ,180,180
台灣銀行家雜誌第77期105.05,繁體中文,台灣金融研訓院,2016,05,01,台灣銀行家雜誌,0077                     ,180,50
台灣銀行家雜誌第78期105.06,繁體中文,台灣金融研訓院,2016,06,01,台灣銀行家雜誌,0078                     ,180,50
台灣銀行家雜誌第79期105.07,繁體中文,台灣金融研訓院,2016,07,06,台灣銀行家雜誌,0079                     ,180,50
台灣銀行家雜誌第80期105.08,繁體中文,台灣金融研訓院,2016,07,29,台灣銀行家雜誌,0080                     ,180,50
台灣銀行家雜誌第81期105.09,繁體中文,台灣金融研訓院,2016,08,30,台灣銀行家雜誌,0081                     ,180,50
台灣銀行家雜誌第82期105.10,繁體中文,台灣金融研訓院,2016,10,03,台灣銀行家雜誌,0082                     ,180,50
台灣銀行家雜誌第83期105.11,繁體中文,台灣金融研訓院,2016,11,03,台灣銀行家雜誌,0083                     ,180,50
台灣銀行家雜誌第84期105.12,繁體中文,台灣金融研訓院,2016,11,30,台灣銀行家雜誌,0084                     ,180,50
台灣銀行家雜誌第85期106.01,繁體中文,台灣金融研訓院,2017,01,03,台灣銀行家雜誌,0085                     ,180,50
台灣銀行家雜誌第86期106.02,繁體中文,台灣金融研訓院,2017,02,06,台灣銀行家雜誌,0086                     ,180,50
台灣銀行家雜誌第87期106.03,繁體中文,台灣金融研訓院,2017,03,02,台灣銀行家雜誌,0087                     ,180,50
台灣銀行家雜誌第88期106.04,繁體中文,台灣金融研訓院,2017,03,31,台灣銀行家雜誌,0088                     ,180,50
台灣銀行家雜誌第89期106.05,繁體中文,台灣金融研訓院,2017,05,04,台灣銀行家雜誌,0089                     ,180,50
台灣銀行家雜誌第90期106.06,繁體中文,台灣金融研訓院,2017,06,02,台灣銀行家雜誌,0090                     ,180,50
台灣銀行家雜誌第91期106.07,繁體中文,台灣金融研訓院,2017,07,01,台灣銀行家雜誌,0091                     ,180,50
台灣銀行家雜誌第92期106.08,繁體中文,台灣金融研訓院,2017,08,01,台灣銀行家雜誌,0092                     ,180,50
台灣銀行家雜誌第93期106.09,繁體中文,台灣金融研訓院,2017,09,01,台灣銀行家雜誌,0093                     ,180,50
台灣銀行家雜誌第94期106.10,繁體中文,台灣金融研訓院,2017,10,01,台灣銀行家雜誌,0094                     ,180,50
台灣銀行家雜誌第95期106.11,繁體中文,台灣金融研訓院,2017,11,01,台灣銀行家雜誌,0095                     ,180,50
台灣銀行家雜誌第96期106.12,繁體中文,台灣金融研訓院,2017,12,04,台灣銀行家雜誌,0096                     ,180,50
台灣銀行家雜誌第97期107.01,繁體中文,台灣金融研訓院,2018,01,01,台灣銀行家雜誌,0097                     ,180,50
台灣銀行家雜誌第98期107.02,繁體中文,台灣金融研訓院,2018,02,05,台灣銀行家雜誌,0098                     ,180,50
台灣銀行家雜誌第99期107.03,繁體中文,台灣金融研訓院,2018,03,01,台灣銀行家雜誌,0099                     ,180,50
台灣銀行家雜誌第100期107.04,繁體中文,台灣金融研訓院,2018,04,01,台灣銀行家雜誌,0100                     ,180,50
台灣銀行家雜誌第101期107.05,繁體中文,台灣金融研訓院,2018,05,01,台灣銀行家雜誌,0101                     ,180,50
107.06台灣銀行家雜誌第102期,繁體中文,台灣金融研訓院,2018,06,01,台灣銀行家雜誌,0102                     ,180,50
107.07台灣銀行家雜誌第103期,繁體中文,台灣金融研訓院,2018,07,01,台灣銀行家雜誌,0103                     ,180,50
107.08台灣銀行家雜誌第104期,繁體中文,台灣金融研訓院,2018,08,01,台灣銀行家雜誌,0104                     ,180,50
107.09台灣銀行家雜誌第105期,繁體中文,台灣金融研訓院,2018,09,12,台灣銀行家雜誌,0105                     ,180,50
107.10台灣銀行家雜誌第106期,繁體中文,台灣金融研訓院,2018,10,01,台灣銀行家雜誌,0106                     ,180,50
107.11台灣銀行家雜誌第107期,繁體中文,台灣金融研訓院,2018,11,01,台灣銀行家雜誌,0107                     ,180,50
107.12台灣銀行家雜誌第108期,繁體中文,台灣金融研訓院,2018,12,04,台灣銀行家雜誌,0108                     ,180,50
108.01台灣銀行家雜誌第109期,繁體中文,台灣金融研訓院,2019,01,08,台灣銀行家雜誌,0109                     ,180,50
108.02台灣銀行家雜誌第110期,繁體中文,台灣金融研訓院,2019,02,15,台灣銀行家雜誌,0110                     ,180,50
108.03台灣銀行家雜誌第111期,繁體中文,台灣金融研訓院,2019,03,06,台灣銀行家雜誌,0111                     ,180,50
108.04台灣銀行家雜誌第112期,繁體中文,台灣金融研訓院,2019,04,09,台灣銀行家雜誌,0112                     ,180,50
108.05台灣銀行家雜誌第113期,繁體中文,台灣金融研訓院,2019,05,08,台灣銀行家雜誌,0113                     ,180,50
108.06台灣銀行家雜誌第114期,繁體中文,台灣金融研訓院,2019,06,05,台灣銀行家雜誌,0114                     ,180,50
108.07台灣銀行家雜誌第115期,繁體中文,台灣金融研訓院,2019,07,03,台灣銀行家雜誌,0115                     ,180,50
108.08台灣銀行家雜誌第116期,繁體中文,台灣金融研訓院,2019,08,05,台灣銀行家雜誌,0116                     ,180,50
108.09台灣銀行家雜誌第117期,繁體中文,台灣金融研訓院,2019,09,01,台灣銀行家雜誌,0117                     ,180,50
108.10台灣銀行家雜誌第118期,繁體中文,台灣金融研訓院,2019,10,07,台灣銀行家雜誌,0118                     ,180,50
108.11台灣銀行家雜誌第119期,繁體中文,台灣金融研訓院,2019,11,04,台灣銀行家雜誌,0119                     ,180,50
108.12台灣銀行家雜誌第120期,繁體中文,台灣金融研訓院,2019,12,03,台灣銀行家雜誌,0120                     ,180,50
109.1台灣銀行家雜誌第121期,繁體中文,台灣金融研訓院,2020,01,03,台灣銀行家雜誌,0121                     ,180,50
109.2台灣銀行家雜誌第122期,繁體中文,台灣金融研訓院,2020,02,12,台灣銀行家雜誌,0122                     ,180,50
109.3台灣銀行家雜誌第123期,繁體中文,台灣金融研訓院,2020,03,01,台灣銀行家雜誌,0123,180,50
109.4台灣銀行家雜誌第124期,繁體中文,台灣金融研訓院,2020,04,01,台灣銀行家雜誌,0124,180,50
109.5台灣銀行家雜誌第125期,繁體中文,台灣金融研訓院,2020,05,01,台灣銀行家雜誌,0125,180,50
109.6台灣銀行家雜誌第126期,繁體中文,台灣金融研訓院,2020,06,01,台灣銀行家雜誌,0126,180,50
銀行家會員半年,繁體中文,,2020,06,01,台灣銀行家雜誌,　,800,560
銀行家會員一年,繁體中文,,2020,06,01,台灣銀行家雜誌,　,1600,1120
銀行家會員二年,繁體中文,,2020,06,01,台灣銀行家雜誌,　,3000,2100
109.7台灣銀行家雜誌第127期,繁體中文,台灣金融研訓院,2020,07,01,台灣銀行家雜誌,0127,180,50
109.8台灣銀行家雜誌第128期,繁體中文,台灣金融研訓院,2020,08,01,台灣銀行家雜誌,0128,180,50
109.9台灣銀行家雜誌第129期,繁體中文,台灣金融研訓院,2020,09,01,台灣銀行家雜誌,0129,180,50
109.10台灣銀行家雜誌第130期,繁體中文,台灣金融研訓院,2020,10,01,台灣銀行家雜誌,0130,180,50
109.11台灣銀行家雜誌第131期,繁體中文,台灣金融研訓院,2020,11,01,台灣銀行家雜誌,0131,180,50
110.02台灣銀行家雜誌第134期,繁體中文,台灣金融研訓院,2021,02,01,台灣銀行家雜誌,0134,180,50
110.03台灣銀行家雜誌第135期,繁體中文,台灣金融研訓院,2021,03,01,台灣銀行家雜誌,0135,180,50
110.04台灣銀行家雜誌第136期,繁體中文,台灣金融研訓院,2021,04,01,台灣銀行家雜誌,0136,180,50
110.06台灣銀行家雜誌第138期,繁體中文,台灣金融研訓院,2021,06,01,台灣銀行家雜誌,0138,180,50
110.07台灣銀行家雜誌第139期,繁體中文,台灣金融研訓院,2021,07,01,台灣銀行家雜誌,0139,180,50
110.08台灣銀行家雜誌第140期,繁體中文,台灣金融研訓院,2021,08,01,台灣銀行家雜誌,0140,180,50
110.09台灣銀行家雜誌第141期,繁體中文,台灣金融研訓院,2021,09,01,台灣銀行家雜誌,0141,180,50
110.10台灣銀行家雜誌第142期,繁體中文,台灣金融研訓院,2021,10,01,台灣銀行家雜誌,0142,180,50
110.11台灣銀行家雜誌第143期,繁體中文,台灣金融研訓院,2021,11,01,台灣銀行家雜誌,0143,180,50
110.12台灣銀行家雜誌第144期,繁體中文,台灣金融研訓院,2021,12,01,台灣銀行家雜誌,0144,180,50
111.01台灣銀行家雜誌第145期,繁體中文,台灣金融研訓院,2022,01,01,台灣銀行家雜誌,0145,180,50
111.02台灣銀行家雜誌第146期,繁體中文,台灣金融研訓院,2022,02,01,台灣銀行家雜誌,0146,180,50
111.03台灣銀行家雜誌第147期,繁體中文,台灣金融研訓院,2022,03,01,台灣銀行家雜誌,0147,180,50
111.04台灣銀行家雜誌第148期,繁體中文,台灣金融研訓院,2022,04,01,台灣銀行家雜誌,0148,180,50
111.05台灣銀行家雜誌第149期,繁體中文,台灣金融研訓院,2022,05,01,台灣銀行家雜誌,0149,180,50
111.06台灣銀行家雜誌第150期,繁體中文,台灣金融研訓院,2022,06,01,台灣銀行家雜誌,0150,180,50
111.07台灣銀行家雜誌第151期,繁體中文,台灣金融研訓院,2022,07,01,台灣銀行家雜誌,0151,180,50
111.08台灣銀行家雜誌第152期,繁體中文,台灣金融研訓院,2022,08,01,台灣銀行家雜誌,0152,180,50
111.09台灣銀行家雜誌第153期,繁體中文,台灣金融研訓院,2022,09,01,台灣銀行家雜誌,0153,180,50
111.10台灣銀行家雜誌第154期,繁體中文,台灣金融研訓院,2022,10,01,台灣銀行家雜誌,0154,180,50
111.11台灣銀行家雜誌第155期,繁體中文,台灣金融研訓院,2022,11,01,台灣銀行家雜誌,0155,180,50
111.12台灣銀行家雜誌第156期,繁體中文,台灣金融研訓院,2022,12,01,台灣銀行家雜誌,0156,180,50
112.01台灣銀行家雜誌第157期,繁體中文,台灣金融研訓院,2023,01,01,台灣銀行家雜誌,0157,180,50
112.02台灣銀行家雜誌第158期,繁體中文,台灣金融研訓院,2023,02,01,台灣銀行家雜誌,0158,180,50
112.03台灣銀行家雜誌第159期,繁體中文,台灣金融研訓院,2023,03,01,台灣銀行家雜誌,0159,180,50
112.04台灣銀行家雜誌第160期,繁體中文,台灣金融研訓院,2023,04,01,台灣銀行家雜誌,0160,180,50
112.05台灣銀行家雜誌第161期,繁體中文,台灣金融研訓院,2023,05,01,台灣銀行家雜誌,0161,180,50
112.06台灣銀行家雜誌第162期,繁體中文,台灣金融研訓院,2023,06,01,台灣銀行家雜誌,0162,180,50
112.07台灣銀行家雜誌第163期,繁體中文,台灣金融研訓院,2023,07,01,台灣銀行家雜誌,0163,180,50
112.08台灣銀行家雜誌第164期,繁體中文,台灣金融研訓院,2023,08,01,台灣銀行家雜誌,0164,180,50
112.09台灣銀行家雜誌第165期,繁體中文,台灣金融研訓院,2023,09,01,台灣銀行家雜誌,0165,180,50
112.10台灣銀行家雜誌第166期,繁體中文,台灣金融研訓院,2023,10,01,台灣銀行家雜誌,0166,180,50
112.11台灣銀行家雜誌第167期,繁體中文,台灣金融研訓院,2023,11,01,台灣銀行家雜誌,0167,180,50
112.12台灣銀行家雜誌第168期,繁體中文,台灣金融研訓院,2023,12,01,台灣銀行家雜誌,0168,180,50
113.01台灣銀行家雜誌第169期,繁體中文,台灣金融研訓院,2024,01,01,台灣銀行家雜誌,0169,180,50
113.02台灣銀行家雜誌第170期,繁體中文,台灣金融研訓院,2024,02,01,台灣銀行家雜誌,0170,180,50
113.03台灣銀行家雜誌第171期,繁體中文,台灣金融研訓院,2024,03,01,台灣銀行家雜誌,0171,180,50
113.04台灣銀行家雜誌第172期,繁體中文,台灣金融研訓院,2024,04,01,台灣銀行家雜誌,0172,180,50
113.05台灣銀行家雜誌第173期,繁體中文,台灣金融研訓院,2024,05,01,台灣銀行家雜誌,0173,180,50
113.06台灣銀行家雜誌第174期,繁體中文,台灣金融研訓院,2024,06,01,台灣銀行家雜誌,0174,180,50
113.07台灣銀行家雜誌第175期,繁體中文,台灣金融研訓院,2024,07,01,台灣銀行家雜誌,0175,180,50
113.08台灣銀行家雜誌第176期,繁體中文,台灣金融研訓院,2024,08,01,台灣銀行家雜誌,0176,180,50
113.09台灣銀行家雜誌第177期,繁體中文,台灣金融研訓院,2024,09,01,台灣銀行家雜誌,0177,180,50
113.10台灣銀行家雜誌第178期,繁體中文,台灣金融研訓院,2024,10,01,台灣銀行家雜誌,0178,180,79
113.11台灣銀行家雜誌第179期,繁體中文,台灣金融研訓院,2024,11,01,台灣銀行家雜誌,0179,180,180
111.05台灣銀行家雜誌第149期(電子書),繁體中文,台灣金融研訓院,2022,05,01,台灣銀行家雜誌,0149,180,50
111.06台灣銀行家雜誌第150期(電子書),繁體中文,台灣金融研訓院,2022,06,01,台灣銀行家雜誌,0150,180,50
111.07台灣銀行家雜誌第151期(電子書),繁體中文,台灣金融研訓院,2022,07,01,台灣銀行家雜誌,0151,180,50
111.08台灣銀行家雜誌第152期(電子書),繁體中文,台灣金融研訓院,2022,08,01,台灣銀行家雜誌,0152,180,50
111.09台灣銀行家雜誌第153期(電子書),繁體中文,台灣金融研訓院,2022,09,01,台灣銀行家雜誌,0153,180,180
111.10台灣銀行家雜誌第154期(電子書),繁體中文,台灣金融研訓院,2022,10,01,台灣銀行家雜誌,0154,180,50
111.11台灣銀行家雜誌第155期(電子書),繁體中文,台灣金融研訓院,2022,11,01,台灣銀行家雜誌,0155,180,50
111.12台灣銀行家雜誌第156期(電子書),繁體中文,台灣金融研訓院,2022,12,01,台灣銀行家雜誌,0156,180,50
112.01台灣銀行家雜誌第157期(電子書),繁體中文,台灣金融研訓院,2023,01,01,台灣銀行家雜誌,0157,180,50
112.02台灣銀行家雜誌第158期(電子書),繁體中文,台灣金融研訓院,2023,02,01,台灣銀行家雜誌,0158,180,50
112.03台灣銀行家雜誌第159期(電子書),繁體中文,台灣金融研訓院,2023,03,01,台灣銀行家雜誌,0159,180,50
112.04台灣銀行家雜誌第160期(電子書),繁體中文,台灣金融研訓院,2023,04,01,台灣銀行家雜誌,0160,180,50
112.05台灣銀行家雜誌第161期(電子書),繁體中文,台灣金融研訓院,2023,05,01,台灣銀行家雜誌,0161,180,50
112.06台灣銀行家雜誌第162期(電子書),繁體中文,台灣金融研訓院,2023,06,01,台灣銀行家雜誌,0162,180,50
112.07台灣銀行家雜誌第163期(電子書),繁體中文,台灣金融研訓院,2023,07,01,台灣銀行家雜誌,0163,180,50
112.08台灣銀行家雜誌第164期(電子書),繁體中文,台灣金融研訓院,2023,08,01,台灣銀行家雜誌,0164,180,50
112.09台灣銀行家雜誌第165期(電子書),繁體中文,台灣金融研訓院,2023,09,01,台灣銀行家雜誌,0165,180,50
112.10台灣銀行家雜誌第166期(電子書),繁體中文,台灣金融研訓院,2023,10,01,台灣銀行家雜誌,0166,180,50
112.11台灣銀行家雜誌第167期(電子書),繁體中文,台灣金融研訓院,2023,11,01,台灣銀行家雜誌,0167,180,50
112.12台灣銀行家雜誌第168期(電子書),繁體中文,台灣金融研訓院,2023,12,01,台灣銀行家雜誌,0168,180,50
113.01台灣銀行家雜誌第169期(電子書),繁體中文,台灣金融研訓院,2024,01,01,台灣銀行家雜誌,0169,180,50
113.02台灣銀行家雜誌第170期(電子書),繁體中文,台灣金融研訓院,2024,02,01,台灣銀行家雜誌,0170,180,50
113.03台灣銀行家雜誌第171期(電子書),繁體中文,台灣金融研訓院,2024,03,01,台灣銀行家雜誌,0171,180,50
113.04台灣銀行家雜誌第172期(電子書),繁體中文,台灣金融研訓院,2024,04,01,台灣銀行家雜誌,0172,180,50
113.05台灣銀行家雜誌第173期(電子書),繁體中文,台灣金融研訓院,2024,05,01,台灣銀行家雜誌,0173,180,50
113.06台灣銀行家雜誌第174期(電子書),繁體中文,台灣金融研訓院,2024,06,01,台灣銀行家雜誌,0174,180,50
 113.07台灣銀行家雜誌第175期(電子書),繁體中文,台灣金融研訓院,2024,07,01,台灣銀行家雜誌,0175,180,50
113.08台灣銀行家雜誌第176期(電子書),繁體中文,台灣金融研訓院,2024,08,01,台灣銀行家雜誌,0176,180,50
113.09台灣銀行家雜誌第177期(電子書),繁體中文,台灣金融研訓院,2024,09,01,台灣銀行家雜誌,0177,180,50
113.10台灣銀行家雜誌第178期(電子書),繁體中文,台灣金融研訓院,2024,10,01,台灣銀行家雜誌,0178,180,79
113.11台灣銀行家雜誌第179期(電子書),繁體中文,台灣金融研訓院,2024,11,01,台灣銀行家雜誌,0179,180,180
